Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-05-24,Oldboy,2013,https://boxd.it/2RVigj,,,w/ meagan,2022-05-23
2022-05-27,Sorry to Bother You,2018,https://boxd.it/2SpTKl,,,w/ meagan,2022-05-26
2022-05-29,Premonition,2007,https://boxd.it/2SLVz9,1,,w/ meagan,2022-05-29
2022-06-02,Columbus,2017,https://boxd.it/2ToKIn,,,,2022-06-01
2022-06-03,The French Dispatch,2021,https://boxd.it/2TAGKD,,,blu-ray,2022-06-02
2022-06-05,The House,2022,https://boxd.it/2TWLVF,,,,2022-06-04
2022-06-06,Jackass 4.5,2022,https://boxd.it/2U6df1,,,,2022-06-05
2022-06-08,The Summit of the Gods,2021,https://boxd.it/2Ut6wl,,,,2022-06-07
2022-06-11,Norm Macdonald: Nothing Special,2022,https://boxd.it/2UVgf1,,,,2022-06-10
2022-06-13,Corpse Bride,2005,https://boxd.it/2Vpz2l,,,,2022-06-12
2022-06-20,Mad God,2021,https://boxd.it/2WKfjH,,,"in theater, w/ lukas",2022-06-20
2022-06-24,Wendy and Lucy,2008,https://boxd.it/2Xsdwd,,,,2022-06-23
2022-06-26,Damnation,1988,https://boxd.it/2XLYyN,,,,2022-06-25
2022-07-03,Inherent Vice,2014,https://boxd.it/2Z87VT,4.5,,,2022-07-03
2022-07-04,Boogie Nights,1997,https://boxd.it/2ZktP3,,,,2022-07-03
2022-07-10,Breathless,1960,https://boxd.it/30sgfL,,,,2022-07-09
2022-07-11,Thor: Love and Thunder,2022,https://boxd.it/30IBJz,,,"in theater, w/ lukas",2022-07-10
2022-07-15,Forgotten,2017,https://boxd.it/31nlwh,,,w/ meagan,2022-07-14
2022-07-16,Hard to Be a God,2013,https://boxd.it/31AUXD,5,,,2022-07-15
2022-07-20,Ugetsu,1953,https://boxd.it/32r6DT,,,w/ lukas,2022-07-19
2022-07-23,Aniara,2018,https://boxd.it/331fEt,,,w/ lukas,2022-07-22
2022-07-24,Mission: Impossible,1996,https://boxd.it/339ymf,,Yes,on phone,2022-07-23
2022-07-24,The Mist,2007,https://boxd.it/339yCx,,Yes,on phone,2022-07-23
2022-07-26,Ponyo,2008,https://boxd.it/33COb1,,Yes,on phone,2022-07-25
2022-07-27,Ocean Waves,1993,https://boxd.it/33U1tr,2,,on phone,2022-07-26
2022-07-28,Tales from Earthsea,2006,https://boxd.it/34nj0Z,,,on phone,2022-07-27
2022-08-04,Don't Look Up,2021,https://boxd.it/35NJlZ,,,on phone,2022-08-03
2022-08-08,Edge of Tomorrow,2014,https://boxd.it/36CNp9,,Yes,on phone,2022-08-07
2022-08-08,Top Gun,1986,https://boxd.it/36PP2R,,,on phone,2022-08-07
2022-08-08,"tick, tick...BOOM!",2021,https://boxd.it/36PT5v,,,on phone,2022-08-07
2022-08-12,Freddy Got Fingered,2001,https://boxd.it/37wiW9,,,w/ meagan,2022-08-11
2022-08-12,Dumb and Dumber To,2014,https://boxd.it/37EaN5,,,w/ meagan,2022-08-11
2022-08-14,The Grand Budapest Hotel,2014,https://boxd.it/385rAL,5,Yes,w/ meagan,2022-08-14
2022-08-15,Angst,1983,https://boxd.it/38gSjz,,,w/ lukas,2022-08-14
2022-08-17,Everything Everywhere All at Once,2022,https://boxd.it/38GSO5,,,,2022-08-16
2022-08-20,Prey,2022,https://boxd.it/398zah,,,,2022-08-19
2022-08-20,Inside the Mind of a Cat,2022,https://boxd.it/39hfMD,,,w/ meagan,2022-08-20
2022-08-21,Safer at Home,2021,https://boxd.it/39trAN,0.5,,w/ meagan,2022-08-20
2022-08-23,Marrowbone,2017,https://boxd.it/39OKUz,,,w/ meagan,2022-08-22
2022-08-26,Anomalisa,2015,https://boxd.it/3apLNX,,,,2022-08-25
2022-08-28,Marcel the Shell with Shoes On,2021,https://boxd.it/3aMvqf,,,"w/ meagan, in theater",2022-08-27
2022-08-30,Color Adjustment,1992,https://boxd.it/3bdCsV,,,,2022-08-29
2022-09-04,Shame,2011,https://boxd.it/3c2rOj,4.5,,,2022-09-03
2022-09-06,Incantation,2022,https://boxd.it/3ctqHv,,,w/ meagan,2022-09-05
2022-09-06,The Darjeeling Limited,2007,https://boxd.it/3cvj7f,,,,2022-09-05
2022-09-08,Secret Sunshine,2007,https://boxd.it/3cSiVf,,,,2022-09-07
2022-09-12,Surf's Up,2007,https://boxd.it/3dw8Vz,,Yes,w/ meagan,2022-09-11
2022-09-16,Barbarian,2022,https://boxd.it/3eawvb,,,"in theater, w/ meagan",2022-09-15
2022-09-21,Slaying the Dragon: Reloaded,2011,https://boxd.it/3fecBZ,,,,2022-09-20
2022-09-27,Petite Maman,2021,https://boxd.it/3goBXP,,,,2022-09-26
2022-09-29,Cam,2018,https://boxd.it/3gNwFB,,,w/ meagan,2022-09-28
2022-09-30,Iron Man,2008,https://boxd.it/3h2nQP,,Yes,,2022-09-30
2022-10-09,Captain America: Civil War,2016,https://boxd.it/3iPmJP,,Yes,w/ meagan,2022-10-08
2022-10-13,Avengers: Infinity War,2018,https://boxd.it/3jPvDZ,,Yes,,2022-10-12
2022-10-17,"Synecdoche, New York",2008,https://boxd.it/3kKJTL,5,,,2022-10-16
2022-10-21,We Are the Flesh,2016,https://boxd.it/3lvbG3,,,,2022-10-20
2022-10-24,Us,2019,https://boxd.it/3lYRkB,,,w/ meagan,2022-10-23
2022-10-24,Memories of Murder,2003,https://boxd.it/3mcvax,4.5,,,2022-10-24
2022-10-31,A Field in England,2013,https://boxd.it/3nGhop,,,,2022-10-30
2022-11-02,Kill List,2011,https://boxd.it/3oacMV,,,w/ meagan,2022-11-01
